pc_time,pc_seconds,#,UV_level,air_rpm,ignition,flame_level,flame_threshold,flame_detection_stat
11/7/2022 14:59,1657544356,2376337,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376357,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376377,24,0,0,0,100,0
11/7/2022 14:59,1657544356,2376397,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376417,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376437,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376457,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376477,43,0,0,0,100,0
11/7/2022 14:59,1657544356,2376497,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376517,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376537,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376557,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376577,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376597,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376617,48,0,0,0,100,0
11/7/2022 14:59,1657544356,2376637,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376657,29,0,0,0,100,0
11/7/2022 14:59,1657544356,2376677,29,0,0,0,100,0
11/7/2022 14:59,1657544356,2376697,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376717,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376737,29,0,0,0,100,0
11/7/2022 14:59,1657544356,2376757,43,0,0,0,100,0
11/7/2022 14:59,1657544356,2376777,39,0,0,0,100,0
11/7/2022 14:59,1657544356,2376797,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376817,29,0,0,0,100,0
11/7/2022 14:59,1657544356,2376837,34,0,0,0,100,0
11/7/2022 14:59,1657544356,2376857,48,0,0,0,100,0
11/7/2022 14:59,1657544357,2376877,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2376897,43,0,0,0,100,0
11/7/2022 14:59,1657544357,2376917,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2376937,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2376957,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2376977,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2376997,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377017,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2377037,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377057,39,0,0,0,100,0
11/7/2022 14:59,1657544357,2377077,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377097,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377117,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377137,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377157,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377177,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377197,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2377217,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377237,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377257,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377277,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377297,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377317,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377337,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377357,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377377,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377397,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377417,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377437,34,0,0,0,100,0
11/7/2022 14:59,1657544357,2377457,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377477,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377497,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377517,19,0,0,0,100,0
11/7/2022 14:59,1657544357,2377537,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377557,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377577,24,0,0,0,100,0
11/7/2022 14:59,1657544357,2377597,29,0,0,0,100,0
11/7/2022 14:59,1657544357,2377617,14,0,0,0,100,0
